Title;Authors;IMSDb Page;IMSDb Script Page
All the President's Men;William Goldman;/Movie Scripts/All the President's Men Script.html;/scripts/All-the-President's-Men.html
Almost Famous;Cameron Crowe;/Movie Scripts/Almost Famous Script.html;/scripts/Almost-Famous.html
Alone in the Dark;Elan Mastai,Michael Roesch;/Movie Scripts/Alone in the Dark Script.html;/scripts/Alone-in-the-Dark.html
Amadeus;Peter Shaffer;/Movie Scripts/Amadeus Script.html;/scripts/Amadeus.html
Amelia;Ronald Bass,Anna Hamilton Phelan;/Movie Scripts/Amelia Script.html;/scripts/Amelia.html
American Beauty;Alan Ball;/Movie Scripts/American Beauty Script.html;/scripts/American-Beauty.html
American Gangster;Steven Zaillian,Mark Jacobson;/Movie Scripts/American Gangster Script.html;/scripts/American-Gangster.html
American Graffiti;George Lucas,Gloria Katz,Willard Huyck;/Movie Scripts/American Graffiti Script.html;/scripts/American-Graffiti.html
American History X;David McKenna;/Movie Scripts/American History X Script.html;/scripts/American-History-X.html
American Hustle;Eric Warren Singer,David O. Russell;/Movie Scripts/American Hustle Script.html;/scripts/American-Hustle.html
American Madness;Robert Riskin;/Movie Scripts/American Madness Script.html;/scripts/American-Madness.html
American Milkshake;David Andalman,Mariko Munro;/Movie Scripts/American Milkshake Script.html;/scripts/American-Milkshake.html
American Outlaws;Roderick Taylor,John Rogers;/Movie Scripts/American Outlaws Script.html;/scripts/American-Outlaws.html
American Pie;Adam Herz;/Movie Scripts/American Pie Script.html;/scripts/American-Pie.html
American President, The;Aaron Sorkin;/Movie Scripts/American President, The Script.html;/scripts/American-President,-The.html
American Psycho;Matthew Markwalder;/Movie Scripts/American Psycho Script.html;/scripts/American-Psycho.html
American Shaolin: King of Kickboxers II;Keith Strandburg;/Movie Scripts/American Shaolin: King of Kickboxers II Script.html;/scripts/American-Shaolin-King-of-Kickboxers-II.html
American Sniper; Jason Hall;/Movie Scripts/American Sniper Script.html;/scripts/American-Sniper.html
American Splendor;Robert Pulcini,Shari Springer Berman;/Movie Scripts/American Splendor Script.html;/scripts/American-Splendor.html
American Werewolf in London;John Landis;/Movie Scripts/American Werewolf in London Script.html;/scripts/American-Werewolf-in-London.html
American, The;Rowan Joffe;/Movie Scripts/American, The Script.html;/scripts/American,-The.html
Amityville Asylum, The;Andrew Jones;/Movie Scripts/Amityville Asylum, The Script.html;/scripts/Amityville-Asylum,-The.html
Amour;Michael Haneke;/Movie Scripts/Amour Script.html;/scripts/Amour.html
An Education;Nick Hornby,Lynn Barber;/Movie Scripts/An Education Script.html;/scripts/An-Education.html
Analyze That;Peter Steinfeld,Harold Ramis,Peter Tolan,Kenneth Longeran;/Movie Scripts/Analyze That Script.html;/scripts/Analyze-That.html
Analyze This;Peter Tolan,Harold Ramis,Kenneth Lonergan;/Movie Scripts/Analyze This Script.html;/scripts/Analyze-This.html
Anastasia;Susan Gauthier,Bruce Graham;/Movie Scripts/Anastasia Script.html;/scripts/Anastasia.html
Angel Eyes;Gerald DiPego;/Movie Scripts/Angel Eyes Script.html;/scripts/Angel-Eyes.html
Angels & Demons;David Koepp,Akiva Goldsman;/Movie Scripts/Angels & Demons Script.html;/scripts/Angels-&-Demons.html
Anna Karenina;Tom Stoppard;/Movie Scripts/Anna Karenina Script.html;/scripts/Anna-Karenina.html
Annie Hall;Woody Allen,Marshall Brickman;/Movie Scripts/Annie Hall Script.html;/scripts/Annie-Hall.html
Anniversary Party, The;Alan Cummings,Jennifer Jason Leigh;/Movie Scripts/Anniversary Party, The Script.html;/scripts/Anniversary-Party,-The.html
Anonymous;John Orloff;/Movie Scripts/Anonymous Script.html;/scripts/Anonymous.html
